*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb mini - GND
*Date=22:05:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
196;;;39.1414;-54.8062;0;Bottom;Copper Fill9
197;10k;THT;26.4581;-21.7798;0;Bottom;D6
198;;;73.8124;-62.4643;0;Bottom;Copper Fill36
199;;;50.5714;-44.2906;0;Bottom;Copper Fill20
200;;;119.38;-62.4643;0;Bottom;Copper Fill57
201;10k;THT;46.7781;-67.4998;-90;Bottom;RESET 10k
202;;;136.5;-62.4643;0;Bottom;Copper Fill63
203;;;33.274;-35.3371;0;Bottom;Copper Fill124
204;;;59.4614;-50.9962;0;Bottom;Copper Fill15
205;;;75.5142;-59.9243;0;Bottom;Copper Fill148
206;;;89.3318;-67.5443;0;Bottom;Copper Fill145
207;;THT;159.628;-77.6598;0;Bottom;Contacto + Starter
208;220;THT;23.9181;-77.6598;90;Bottom;R6
209;;THT;159.628;-59.8607;0;Bottom;Ventilador
210;;300 mil [THT];86.1227;-59.8798;0;Bottom;diode1
211;;;22.1742;-57.3843;0;Bottom;Copper Fill128
212;;;20.4724;-19.2843;0;Bottom;Copper Fill111
213;;;5.334;-92.9443;0;Bottom;Copper Fill101
214;;;115.358;-3.99992;0;Top;Pad1
215;;;104.572;-67.5443;0;Bottom;Copper Fill159
216;;THT;2.50821;-31.9399;180;Bottom;Sensor corte
217;;300 mil [THT];116.603;-62.4198;0;Bottom;diode3
218;;;20.4724;-24.3643;0;Bottom;Copper Fill222
219;;;55.1942;-11.6643;0;Bottom;Copper Fill121
220;1µF;200 mil [THT, electrolytic];145.838;-87.8198;-90;Bottom;100uF
221;;;135.572;-61.5372;0;Bottom;Copper Fill184
222;;;30.1752;-6.6223;0;Bottom;Via4
223;;;75.5142;-16.7443;0;Bottom;Copper Fill88
224;;TO92 [THT];41.5076;-11.5309;0;Bottom;MCP9701 AUX
225;;;73.8124;-54.8443;0;Bottom;Copper Fill156
226;;;73.8124;-49.7643;0;Bottom;Copper Fill70
227;;;44.9326;-92.9443;0;Bottom;Copper Fill75
228;;;134.62;-62.4643;0;Bottom;Copper Fill185
229;;;58.3057;-71.7988;0;Bottom;Copper Fill48
230;;;12.8524;-4.0443;0;Bottom;Copper Fill209
