*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb GND
*Date=02:42:52
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
253;;[THT];70.1243;-90.4521;0;Bottom;RESET
254;;;90.5256;-40.578;0;Bottom;Via3
255;;;33.528;-72.4423;0;Bottom;Copper Fill188
256;;;54.5084;-45.4802;0;Bottom;Copper Fill139
257;;;164.732;-80.6338;0;Bottom;Copper Fill211
258;;;191.16;-70.0166;0;Bottom;Copper Fill134
259;10k;THT;37.8144;-69.842;0;Bottom;D4
260;;;21.336;-79.2876;0;Bottom;Copper Fill130
261;;;49.7332;-110.492;0;Bottom;Copper Fill97
262;;;33.528;-41.9623;0;Bottom;Copper Fill174
263;;;94.488;-44.5023;0;Bottom;Copper Fill34
264;;;10.7188;-44.5023;0;Bottom;Copper Fill235
265;;;75.9206;-44.4388;0;Bottom;Copper Fill14
266;;;145.771;-105.577;0;Bottom;Copper Fill124
267;;;9.0932;-110.492;0;Bottom;Copper Fill115
268;;;40.5384;-34.482;0;Bottom;Via2
269;;;27.7368;-69.8388;0;Bottom;Via17
270;;300 mil [THT];160.979;-69.842;0;Bottom;diode4
271;;;150.393;-69.9023;0;Bottom;Copper Fill210
272;;;31.8516;-41.9623;0;Bottom;Copper Fill45
273;;;192.672;-103.824;0;Bottom;Copper Fill239
274;;;41.0464;-110.492;0;Bottom;Copper Fill101
275;;;9.8425;-45.404;0;Bottom;Copper Fill232
276;;;66.8401;-93.6132;0;Bottom;Copper Fill77
277;;;59.8932;-110.492;0;Bottom;Copper Fill84
278;;;115.284;-92.6998;0;Bottom;releContacto
279;;;8.9154;-29.2623;0;Bottom;Copper Fill215
280;;;9.8425;-111.241;0;Bottom;Copper Fill114
281;;;4.79441;-102.862;0;Bottom;Hole3
282;;THT;196.384;-64.7429;0;Bottom;Ventilador
283;;;98.7744;-92.702;0;Top;Pad5
284;;;33.528;-34.3423;0;Bottom;Copper Fill190
285;;;92.8116;-82.6023;0;Bottom;Copper Fill43
286;;;9.8425;-30.164;0;Bottom;Copper Fill214
287;;;5.1562;-6.4023;0;Bottom;Copper Fill218
288;10k;THT;37.8144;-36.822;0;Bottom;D7
289;;;94.488;-77.5223;0;Bottom;Copper Fill165
290;;;51.7906;-74.9188;0;Bottom;Copper Fill3
291;;;139.332;-3.9766;0;Bottom;Copper Fill225
292;;;104.546;-44.8452;0;Bottom;Via4
